Word,Length,Count,Weighted Percentage (%)
browse,6,9,0.09
commons,7,9,0.09
contributions,13,9,0.09
declare,7,9,0.09
economics,9,9,0.09
email,5,9,0.09
including,9,9,0.09
index,5,9,0.09
one,3,9,0.09
page,4,9,0.09
prof,4,9,0.09
purpose,7,9,0.09
skip,4,9,0.09
student,7,9,0.09
tools,5,9,0.09
view,4,9,0.09
vocational,10,9,0.09
approach,8,8,0.08
april,5,8,0.08
citations,9,8,0.08
computer,8,8,0.08
conclusion,10,8,0.08
consists,8,8,0.08
december,8,8,0.08
discussion,10,8,0.08
ethics,6,8,0.08
fields,6,8,0.08
informationpdfcitations,23,8,0.08
instagram,9,8,0.08
last,4,8,0.08
latin,5,8,0.08
least,5,8,0.08
licensed,8,8,0.08
malaysia,8,8,0.08
news,4,8,0.08
professionals,13,8,0.08
publications,12,8,0.08
referees,8,8,0.08
reviewers,9,8,0.08
rlj,3,8,0.08
software,8,8,0.08
submitting,10,8,0.08
trends,6,8,0.08
type,4,8,0.08
web,3,8,0.08
writing,7,8,0.08
acquisition,11,7,0.07
allows,6,7,0.07
center,6,7,0.07
charges,7,7,0.07
collection,10,7,0.07
countries,9,7,0.07
date,4,7,0.07
edu,3,7,0.07
evaluating,10,7,0.07
figure,6,7,0.07
final,5,7,0.07
form,4,7,0.07
format,6,7,0.07
guide,5,7,0.07
https,5,7,0.07
impact,6,7,0.07
indexed,7,7,0.07
institution,11,7,0.07
niscpr,6,7,0.07
number,6,7,0.07
possible,8,7,0.07
publishes,9,7,0.07
scientometrics,14,7,0.07
source,6,7,0.07
students,8,7,0.07
0002,4,6,0.06
150,3,6,0.06
2018,4,6,0.06
2023,4,6,0.06
academy,7,6,0.06
acceptance,10,6,0.06
africa,6,6,0.06
aim,3,6,0.06
among,5,6,0.06
announcements,13,6,0.06
applied,7,6,0.06
archives,8,6,0.06
authorship,10,6,0.06
background,10,6,0.06
bengaluru,9,6,0.06
bengkulu,8,6,0.06
chennupati,10,6,0.06
china,5,6,0.06
cited,5,6,0.06
com,3,6,0.06
comments,8,6,0.06
conditions,10,6,0.06
confidential,12,6,0.06
decision,8,6,0.06
discussed,9,6,0.06
document,8,6,0.06
documentation,13,6,0.06
downloads,9,6,0.06
drdo,4,6,0.06
dual,4,6,0.06
effectiveness,13,6,0.06
encouraged,10,6,0.06
engineering,11,6,0.06
every,5,6,0.06
extra,5,6,0.06
facebook,8,6,0.06
findings,8,6,0.06
follow,6,6,0.06
free,4,6,0.06
gov,3,6,0.06
graphics,8,6,0.06
instruction,11,6,0.06
international,13,6,0.06
intra,5,6,0.06
java,4,6,0.06
khairunissa,11,6,0.06
languages,9,6,0.06
letter,6,6,0.06
net,3,6,0.06
nistads,7,6,0.06
ojs,3,6,0.06
openjournaltheme,16,6,0.06
oral,4,6,0.06
orthodontic,11,6,0.06
password,8,6,0.06
permission,10,6,0.06
phcog,5,6,0.06
photograph,10,6,0.06
php,3,6,0.06
political,9,6,0.06
previously,10,6,0.06
prior,5,6,0.06
relevant,8,6,0.06
reports,7,6,0.06
res,3,6,0.06
responsibility,14,6,0.06
reviewer,8,6,0.06
reviewing,9,6,0.06
right,5,6,0.06
signing,7,6,0.06
site,4,6,0.06
students',9,6,0.06
systems,7,6,0.06
themes,6,6,0.06
three,5,6,0.06
twitter,7,6,0.06
universiti,10,6,0.06
usa,3,6,0.06
within,6,6,0.06
word,4,6,0.06
youtube,7,6,0.06
acsir,5,5,0.05
another,7,5,0.05
areas,5,5,0.05
art,3,5,0.05
asia,4,5,0.05
check,5,5,0.05
colleagues,10,5,0.05
contents,8,5,0.05
copy,4,5,0.05
cover,5,5,0.05
emailâ,6,5,0.05
exceed,6,5,0.05
exploring,9,5,0.05
factor,6,5,0.05
global,6,5,0.05
graduate,8,5,0.05
health,6,5,0.05
highly,6,5,0.05
images,6,5,0.05
implementation,14,5,0.05
implications,12,5,0.05
improving,9,5,0.05
included,8,5,0.05
inclusion,9,5,0.05
indian,6,5,0.05
integrity,9,5,0.05
july,4,5,0.05
kumar,5,5,0.05
leuven,6,5,0.05
libraries,9,5,0.05
malaysian,9,5,0.05
nguyen,6,5,0.05
north,5,5,0.05
notes,5,5,0.05
notice,6,5,0.05
orcid,5,5,0.05
order,5,5,0.05
others,6,5,0.05
pages,5,5,0.05
paragraph,9,5,0.05
past,4,5,0.05
people,6,5,0.05
post,4,5,0.05
practical,9,5,0.05
press,5,5,0.05
proof,5,5,0.05
proposing,9,5,0.05
protected,9,5,0.05
questions,9,5,0.05
received,8,5,0.05
relevance,9,5,0.05
researchers,11,5,0.05
result,6,5,0.05
rights,6,5,0.05
sharealike,10,5,0.05
south,5,5,0.05
style,5,5,0.05
support,7,5,0.05
term,4,5,0.05
terms,5,5,0.05
texas,5,5,0.05
theoretical,11,5,0.05
times,5,5,0.05
unpublished,11,5,0.05
user,4,5,0.05
16507234500,11,4,0.04
1st,3,4,0.04
2012,4,4,0.04
2013,4,4,0.04
2016,4,4,0.04
2442,4,4,0.04
5168,4,4,0.04
57201398420,11,4,0.04
57202058854,11,4,0.04
accuracy,8,4,0.04
acknowledgement,15,4,0.04
activities,10,4,0.04
agree,5,4,0.04
agreement,9,4,0.04
agricultural,12,4,0.04
along,5,4,0.04
amendment,9,4,0.04
apa,3,4,0.04
archiving,9,4,0.04
asean,5,4,0.04
aspects,7,4,0.04
assistance,10,4,0.04
behavior,8,4,0.04
bold,4,4,0.04
brady,5,4,0.04
brazil,6,4,0.04
call,4,4,0.04
cancer,6,4,0.04
centre,6,4,0.04
certificate,11,4,0.04
classification,14,4,0.04
close,5,4,0.04
college,7,4,0.04
completely,10,4,0.04
conclusions,11,4,0.04
consistency,11,4,0.04
describe,8,4,0.04
digital,7,4,0.04
disease,7,4,0.04
dyah,4,4,0.04
editing,7,4,0.04
error,5,4,0.04
errors,6,4,0.04
example,7,4,0.04
factors,7,4,0.04
federal,7,4,0.04
field,5,4,0.04
financial,9,4,0.04
formal,6,4,0.04
forthcoming,11,4,0.04
funding,7,4,0.04
general,7,4,0.04
get,3,4,0.04
google,6,4,0.04
independent,11,4,0.04
indialics,9,4,0.04
innovations,11,4,0.04
innovative,10,4,0.04
instructions,12,4,0.04
integrated,10,4,0.04
interested,10,4,0.04
jun,3,4,0.04
keep,4,4,0.04
key,3,4,0.04
keyword,7,4,0.04
length,6,4,0.04
librarian,9,4,0.04
listed,6,4,0.04
literacy,8,4,0.04
llm,3,4,0.04
llp,3,4,0.04
local,5,4,0.04
lund,4,4,0.04
mail,4,4,0.04
make,4,4,0.04
making,6,4,0.04
mara,4,4,0.04
march,5,4,0.04
masrek,6,4,0.04
members,7,4,0.04
metrics,7,4,0.04
mohammad,8,4,0.04
monthly,7,4,0.04
non,3,4,0.04
noorman,7,4,0.04
notification,12,4,0.04
particular,10,4,0.04
points,6,4,0.04
pre,3,4,0.04
presented,9,4,0.04
products,8,4,0.04
professional,12,4,0.04
progress,8,4,0.04
proofreading,12,4,0.04
publish,7,4,0.04
puspitasari,11,4,0.04
ramaiah,7,4,0.04
recognition,11,4,0.04
restrictions,12,4,0.04
retraction,10,4,0.04
roman,5,4,0.04
scholar,7,4,0.04
scopus,6,4,0.04
sentence,8,4,0.04
sequence,8,4,0.04
share,5,4,0.04
similarity,10,4,0.04
single,6,4,0.04
small,5,4,0.04
sociology,9,4,0.04
solely,6,4,0.04
sources,7,4,0.04
srirahayu,9,4,0.04
stated,6,4,0.04
sts,3,4,0.04
subheading,10,4,0.04
subject,7,4,0.04
subjected,9,4,0.04
technomedia,11,4,0.04
teknologi,9,4,0.04
template,8,4,0.04
touch,5,4,0.04
types,5,4,0.04
universitas,11,4,0.04
welcomes,8,4,0.04
whereas,7,4,0.04
0001,4,3,0.03
0003,4,3,0.03
0009,4,3,0.03
0057,4,3,0.03
031,3,3,0.03
0413,4,3,0.03
0643,4,3,0.03
0974,4,3,0.03
0976,4,3,0.03
10931,5,3,0.03
12058,5,3,0.03
200,3,3,0.03
2024,4,3,0.03
21892,5,3,0.03
2320,4,3,0.03
2321,4,3,0.03
23937,5,3,0.03
25806,5,3,0.03
2654047,7,3,0.03
300,3,3,0.03
32898,5,3,0.03
43240,5,3,0.03
43610,5,3,0.03
5033869,7,3,0.03
52824,5,3,0.03
60286,5,3,0.03
6654,4,3,0.03
71950,5,3,0.03
7551,4,3,0.03
7674,4,3,0.03
7982,4,3,0.03
8313,4,3,0.03
9341,4,3,0.03
9476,4,3,0.03
ability,7,3,0.03
accept,6,3,0.03
accessed,8,3,0.03
activity,8,3,0.03
addressing,10,3,0.03
adeyemi,7,3,0.03
affecting,9,3,0.03
affiliations,12,3,0.03
agung,5,3,0.03
aims,4,3,0.03
alike,5,3,0.03
already,7,3,0.03
analyst,7,3,0.03
analytical,10,3,0.03
anh1,4,3,0.03
anwar,5,3,0.03
anxiety,7,3,0.03
appear,6,3,0.03
applications,12,3,0.03
applying,8,3,0.03
appropriately,13,3,0.03
automated,9,3,0.03
aware,5,3,0.03
barcode,7,3,0.03
belgium,7,3,0.03
better,6,3,0.03
bhattacharya,12,3,0.03
big,3,3,0.03
books,5,3,0.03
bottom,6,3,0.03
broader,7,3,0.03
cahyani,7,3,0.03
capitalized,11,3,0.03
cases,5,3,0.03
changing,8,3,0.03
charge,6,3,0.03
child,5,3,0.03
choice,6,3,0.03
ckramaiah,9,3,0.03
clear,5,3,0.03
collaboration,13,3,0.03
colombia,8,3,0.03
comm,4,3,0.03
communities,11,3,0.03
competence,10,3,0.03
concise,7,3,0.03
condition,9,3,0.03
confidentiality,15,3,0.03
consider,8,3,0.03
consumptive,11,3,0.03
contemporary,12,3,0.03
contexts,8,3,0.03
contrast,8,3,0.03
coordination,12,3,0.03
correction,10,3,0.03
create,6,3,0.03
credit,6,3,0.03
credited,8,3,0.03
dalam,5,3,0.03
deposit,7,3,0.03
design,6,3,0.03
details,7,3,0.03
detection,9,3,0.03
determine,9,3,0.03
devoted,7,3,0.03
dharmawangsa,12,3,0.03
diah,4,3,0.03
director,8,3,0.03
discuss,7,3,0.03
dist,4,3,0.03
doi,3,3,0.03
download,8,3,0.03
dwi,3,3,0.03
editorialteam,13,3,0.03
effective,9,3,0.03
efâ,3,3,0.03
eissn,5,3,0.03
eko,3,3,0.03
enhanced,8,3,0.03
equations,9,3,0.03
erstwhile,9,3,0.03
evidence,8,3,0.03
except,6,3,0.03
excluding,9,3,0.03
fake,4,3,0.03
fakhlina,8,3,0.03
fakultas,8,3,0.03
file,4,3,0.03
first,5,3,0.03
follows,7,3,0.03
footer,6,3,0.03
footnote,8,3,0.03
forgot,6,3,0.03
formerly,8,3,0.03
fransiska,9,3,0.03
frequency,9,3,0.03
gadjah,6,3,0.03
gazi,4,3,0.03
germany,7,3,0.03
given,5,3,0.03
goenharto,9,3,0.03
gombe,5,3,0.03
headings,8,3,0.03
highlight,9,3,0.03
hipwee,6,3,0.03
hypotheses,10,3,0.03
iii,3,3,0.03
illustrations,13,3,0.03
important,9,3,0.03
improvement,11,3,0.03
inf,3,3,0.03
info,4,3,0.03
initial,7,3,0.03
integrating,11,3,0.03
intellectual,12,3,0.03
inventory,9,3,0.03
invited,7,3,0.03
ismail,6,3,0.03
issm,4,3,0.03
jagtar,6,3,0.03
jawa,4,3,0.03
jawaharlal,10,3,0.03
jayanti,7,3,0.03
kampus,6,3,0.03
karnataka,9,3,0.03
keeping,7,3,0.03
khairul,7,3,0.03
lampung,7,3,0.03
large,5,3,0.03
lib,3,3,0.03
librarians,10,3,0.03
librarianship,13,3,0.03
links,5,3,0.03
lis@pondiuni,12,3,0.03
list,4,3,0.03
logged,6,3,0.03
mada,4,3,0.03
mahkamah,8,3,0.03
maintain,8,3,0.03
manipulations,13,3,0.03
materials,9,3,0.03
matter,6,3,0.03
max,3,3,0.03
meant,5,3,0.03
measuring,9,3,0.03
medium,6,3,0.03
meet,4,3,0.03
menu,4,3,0.03
microsoft,9,3,0.03
minimum,7,3,0.03
mjlis,5,3,0.03
mobile,6,3,0.03
mothers,7,3,0.03
mufida,6,3,0.03
names,5,3,0.03
native,6,3,0.03
navigation,10,3,0.03
needs,5,3,0.03
nehru,5,3,0.03
noprianto,9,3,0.03
note,4,3,0.03
objectives,10,3,0.03
obtained,8,3,0.03
october,7,3,0.03
official,8,3,0.03
olatunji,8,3,0.03
org,3,3,0.03
organization,12,3,0.03
performing,10,3,0.03
placed,6,3,0.03
politics,8,3,0.03
pondicherry,11,3,0.03
population,10,3,0.03
portal,6,3,0.03
posyandu,8,3,0.03
provided,8,3,0.03
providing,9,3,0.03
provincial,10,3,0.03
public,6,3,0.03
publisher,9,3,0.03
purposes,8,3,0.03
pusat,5,3,0.03
read,4,3,0.03
readers,7,3,0.03
recent,6,3,0.03
region,6,3,0.03
rejected,8,3,0.03
release,7,3,0.03
repeat,6,3,0.03
reported,8,3,0.03
republik,8,3,0.03
requirements,12,3,0.03
resty,5,3,0.03
revised,7,3,0.03
revisions,9,3,0.03
rlj@journal,11,3,0.03
roles,5,3,0.03
rully,5,3,0.03
samosir,7,3,0.03
sample,6,3,0.03
sampling,8,3,0.03
satisfaction,12,3,0.03
scholarly,9,3,0.03
sense,5,3,0.03
sent,4,3,0.03
september,9,3,0.03
sharing,7,3,0.03
sianiwati,9,3,0.03
sica,4,3,0.03
significance,12,3,0.03
singh,5,3,0.03
sinta,5,3,0.03
state,5,3,0.03
statistical,11,3,0.03
stats,5,3,0.03
strongly,8,3,0.03
structure,9,3,0.03
success,7,3,0.03
suggest,7,3,0.03
sujit,5,3,0.03
take,4,3,0.03
tam,3,3,0.03
technologies,12,3,0.03
telp,4,3,0.03
theories,8,3,0.03
thi,3,3,0.03
timoria,7,3,0.03
timur,5,3,0.03
tool,4,3,0.03
top,3,3,0.03
toulouse,8,3,0.03
triannual,9,3,0.03
turnitin,8,3,0.03
typed,5,3,0.03
tãœrkiye,8,3,0.03
united,6,3,0.03
univ,4,3,0.03
universidad,11,3,0.03
unversity,9,3,0.03
urgency,7,3,0.03
username,8,3,0.03
uses,4,3,0.03
utilization,11,3,0.03
visitors,8,3,0.03
vit,3,3,0.03
vokasi,6,3,0.03
wacana,6,3,0.03
welcome,7,3,0.03
well,4,3,0.03
whether,7,3,0.03
world,5,3,0.03
'object,7,2,0.02
000,3,2,0.02
0005,4,2,0.02
110012,6,2,0.02
1992,4,2,0.02
1department,11,2,0.02
1school,7,2,0.02
2014,4,2,0.02
2021dear,8,2,0.02
2654592email,12,2,0.02
4658https,9,2,0.02
5109,4,2,0.02
5220,4,2,0.02
abdc,4,2,0.02
abs,3,2,0.02
academicians,12,2,0.02
accessibility,13,2,0.02
according,9,2,0.02
accurately,10,2,0.02
administration,14,2,0.02
advance,7,2,0.02
advanced,8,2,0.02
advice,6,2,0.02
advisors,8,2,0.02
affect,6,2,0.02
affects,7,2,0.02
affiliation,11,2,0.02
agenda,6,2,0.02
agreed,6,2,0.02
aided,5,2,0.02
algorithm,9,2,0.02
alliance,8,2,0.02
alphabetical,12,2,0.02
alzheimerâ,10,2,0.02
amended,7,2,0.02
amendments,10,2,0.02
analyzing,9,2,0.02
antwerp,7,2,0.02
apcs,4,2,0.02
apparent,8,2,0.02
application,11,2,0.02
approved,8,2,0.02
argentina,9,2,0.02
artificial,10,2,0.02
asian,5,2,0.02
asip,4,2,0.02
asked,5,2,0.02
aspect,6,2,0.02
associate,9,2,0.02
astronomy,9,2,0.02
attaching,9,2,0.02
australia,9,2,0.02
bahia,5,2,0.02
bank,4,2,0.02
behaviour,9,2,0.02
biased,6,2,0.02
binarization,12,2,0.02
biomedical,10,2,0.02
body,4,2,0.02
brazilian,9,2,0.02
broadest,8,2,0.02
build,5,2,0.02
bundle,6,2,0.02
burden,6,2,0.02
campus,6,2,0.02
cancel,6,2,0.02
carefully,9,2,0.02
certify,7,2,0.02
charts,6,2,0.02
chatgpt,7,2,0.02
chiang,6,2,0.02
citescore,9,2,0.02
clarity,7,2,0.02
comment,7,2,0.02
common,6,2,0.02
community,9,2,0.02
comparative,11,2,0.02
compared,8,2,0.02
compatible,10,2,0.02
complete,8,2,0.02
concepts,8,2,0.02
conceptual,10,2,0.02
concern,7,2,0.02
confirm,7,2,0.02
conjunctions,12,2,0.02
consent',8,2,0.02
contain,7,2,0.02
containing,10,2,0.02
contesting,10,2,0.02
contribute,10,2,0.02
correct,7,2,0.02
correcting,10,2,0.02
corrections,11,2,0.02
correctly,9,2,0.02
corrigendum,11,2,0.02
covered,7,2,0.02
covering,8,2,0.02
creator,7,2,0.02
critical,8,2,0.02
critically,10,2,0.02
csf,3,2,0.02
csssc,5,2,0.02
curriculum,10,2,0.02
dalian,6,2,0.02
database,8,2,0.02
databases,9,2,0.02
decisions,9,2,0.02
derivative,10,2,0.02
description,11,2,0.02
desirable,9,2,0.02
different,9,2,0.02
diffusion,9,2,0.02
directly,8,2,0.02
disclosed,9,2,0.02
disruption,10,2,0.02
distribute,10,2,0.02
distribution,12,2,0.02
district,8,2,0.02
djlitêdoes,10,2,0.02
doctrine,8,2,0.02
dot,3,2,0.02
downloadable,12,2,0.02
drawing,7,2,0.02
dsj,3,2,0.02
due,3,2,0.02
duplicate,9,2,0.02
earlier,7,2,0.02
early,5,2,0.02
edit,4,2,0.02
edition,7,2,0.02
editorsprof,11,2,0.02
either,6,2,0.02
emphasize,9,2,0.02
empirical,9,2,0.02
encompasses,11,2,0.02
encompassing,12,2,0.02
encourages,10,2,0.02
end,3,2,0.02
endnote,7,2,0.02
ensure,6,2,0.02
ensures,7,2,0.02
ensuring,8,2,0.02
enter,5,2,0.02
equally,7,2,0.02
erratum,7,2,0.02
esc,3,2,0.02
essay,5,2,0.02
eventually,10,2,0.02
excel,5,2,0.02
expected,8,2,0.02
experiments,11,2,0.02
expert,6,2,0.02
explicitly,10,2,0.02
extension,9,2,0.02
facilitates,11,2,0.02
fee,3,2,0.02
fieldwork,9,2,0.02
files,5,2,0.02
filling,7,2,0.02
finding,7,2,0.02
fintech,7,2,0.02
flexible,8,2,0.02
font,4,2,0.02
foobar,6,2,0.02
forum,5,2,0.02
found,5,2,0.02
freely,6,2,0.02
frequent,8,2,0.02
furkan,6,2,0.02
gender,6,2,0.02
generalized,11,2,0.02
